product_id,product_name,aisle_id,department_id
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1
8,Cut Russet Potatoes Steam N' Mash,116,1
12,Chocolate Fudge Layer Cake,119,1
18,Pizza for One Suprema  Frozen Pizza,79,1
30,"Three Cheese Ziti, Marinara with Meatballs",38,1
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,38,1
46,Raisin Cinnamon Bagels 5 count,58,1
81,Blakes Chicken Parmesan Dinner,38,1
100,Peanut Butter & Strawberry Jam Sandwich,38,1
86,"Camilia, Single Liquid Doses",6,2
506,Arrowroot Powder,6,2
535,Rescue Remedy,6,2
676,Sunset Blush,6,2
713,Pink Moscato California,6,2
1010,Agar Agar Powder,6,2
1013,Poly-Vi-Sol® Infants And Toddlers Multivitamin Supplement Drops,6,2
1655,Moderate Absorbency for Women  Underwear Large,6,2
1682,Pink Moscato,6,2
58,Whole Wheat Tortillas,128,3
83,100% Whole Wheat Pita Bread,128,3
101,"Bread, Healthy Whole Grain",112,3
108,Organic Sprouted Barley Bread,112,3
116,English Muffins,93,3
131,Brioche Bachelor Loaf,93,3
189,Healthfull Nuts & Seeds Bread,112,3
218,"6\"" Organic Carrot Cake",8,3
245,Poppy Seed Bagels,93,3
317,Best Grains Honey & Crunch Oat Bread,112,3
31,White Pearl Onions,123,4
43,Organic Clementines,123,4
45,European Cucumber,83,4
66,European Style Spring Mix,123,4
89,Yogurt Fruit Dip Sliced Apples,123,4
99,Local Living Butter Lettuce,83,4
120,Cauliflower Florettes,123,4
142,Arugula Salad,123,4
143,Organic Lemons,24,4
148,Nectarines,24,4
157,Living Organic Cilantro,16,4
199,Herb Thyme Clamshell,16,4
52,Mirabelle Brut Rose,134,5
119,Chardonnay Paso Robles,62,5
150,Brut Rosé,134,5
234,Tennessee Whiskey,124,5
249,"Pinot Grigio, California, 2010",62,5
350,Mixed 12 Pack Lion's Share Ale,27,5
379,Super Dry Beer,27,5
430,Born Yesterday Pale Ale,27,5
470,Lite Beer,27,5
475,Organic Reposado Tequila,124,5
479,Most Wanted Cabernet Sauvignon Red Wine,28,5
47,Onion Flavor Organic Roasted Seaweed Snack,66,6
70,Sweet Cooking Rice Seasoning,66,6
95,Organic Rice Vinegar,66,6
161,Hacho Miso Aged & Fermented Soybeans,66,6
192,Israeli Style Gefilte Fish,33,6
215,Sambal Oelek Ground Fresh Chili Paste,66,6
330,Chilpotles in Adobo Sauce,30,6
338,Yahrzeit Light Memorial Candle,33,6
369,New Mexico Chili,30,6
425,Sardines in Water Salt Added,33,6
548,Hi-Chew Strawberry Fruit,66,6
638,Won Ton Wrappers,66,6
3,Robust Golden Unsweetened Oolong Tea,94,7
7,Pure Coconut Water With Orange,98,7
10,Sparkling Orange Juice & Prickly Pear Beverage,115,7
11,Peach Mango Juice,31,7
20,Pomegranate Cranberry & Aloe Vera Enrich Drink,98,7
39,Daily Tangerine Citrus Flavored Beverage,64,7
44,Sparkling Raspberry Seltzer,115,7
53,Whole Leaf Pure Aloe With Lemon Juice,98,7
69,Vanilla with Almond Milk Iced Coffee,26,7
73,Jasmine Tea Unfiltered Ginger Ale,77,7
82,All Natural 100% Apple Juice,98,7
21,Small & Medium Dental Dog Treats,40,8
26,Fancy Feast Trout Feast Flaked Wet Cat Food,41,8
54,24/7 Performance Cat Litter,41,8
92,Meat In The Middle Large Rawhide Chews,40,8
236,Chicken Meatballs Dog Treats,40,8
282,Oh My Cod! Cod Pate and Vegetables Cat Food,40,8
293,Prime Filets Chicken & Tuna Dinner in Gravy Cat Food,41,8
302,Gourmet Dog Treats Bone,40,8
342,"Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food",41,8
377,Chunky Beef with Vegetables & Brown Rice Dog Food,40,8
386,Real Chicken & Veggies Recipe Dog Food,40,8
19,Gluten Free Quinoa Three Cheese & Mushroom Blend,63,9
33,Organic Spaghetti Style Pasta,131,9
60,Cheesy Creations Roasted Garlic Parmesan Sauce,9,9
